iter	Passed	Remaining
0	135	134880
1	136	68157
2	138	45927
3	139	34830
4	141	28155
5	142	23677
6	144	20473
7	145	18084
8	147	16260
9	149	14779
10	150	13565
11	152	12576
12	154	11711
13	155	10976
14	157	10340
15	159	9780
16	160	9294
17	162	8852
18	163	8460
19	165	8100
20	166	7780
21	168	7487
22	169	7215
23	171	6965
24	172	6736
25	174	6528
26	176	6343
27	177	6164
28	179	5994
29	180	5834
30	181	5688
31	183	5550
32	184	5420
33	186	5294
34	187	5177
35	189	5069
36	190	4964
37	192	4865
38	193	4767
39	194	4679
40	196	4592
41	197	4512
42	199	4435
43	200	4361
44	202	4291
45	203	4224
46	205	4161
47	206	4099
48	208	4040
49	209	3980
50	210	3924
51	212	3871
52	213	3818
53	215	3768
54	216	3720
55	217	3674
56	219	3630
57	220	3587
58	222	3546
59	223	3505
60	225	3466
61	226	3429
62	228	3393
63	229	3357
64	231	3324
65	232	3296
66	235	3274
67	236	3237
68	238	3213
69	240	3190
70	242	3167
71	243	3140
72	245	3116
73	247	3093
74	249	3071
75	250	3049
76	252	3027
77	254	3006
78	256	2987
79	258	2969
80	260	2953
81	262	2935
82	264	2917
83	265	2898
84	266	2873
85	268	2856
86	270	2834
87	272	2819
88	273	2803
89	275	2787
90	277	2772
91	279	2757
92	281	2742
93	283	2728
94	284	2714
95	286	2699
96	288	2686
97	290	2674
98	292	2660
99	294	2646
100	295	2633
101	296	2613
102	298	2600
103	300	2587
104	302	2576
105	303	2563
106	305	2551
107	307	2539
108	309	2528
109	311	2516
110	312	2504
111	314	2494
112	316	2483
113	318	2476
114	320	2466
115	322	2454
116	324	2445
117	325	2436
118	327	2423
119	329	2414
120	331	2406
121	333	2398
122	334	2385
123	336	2377
124	338	2369
125	340	2359
126	342	2351
127	343	2339
128	345	2331
129	347	2323
130	349	2315
131	351	2308
132	352	2299
133	354	2290
134	356	2281
135	357	2272
136	359	2265
137	361	2256
138	363	2250
139	365	2242
140	366	2234
141	368	2226
142	370	2218
143	372	2212
144	374	2206
145	375	2198
146	377	2192
147	379	2185
148	381	2177
149	383	2171
150	385	2165
151	386	2157
152	388	2150
153	390	2143
154	391	2134
155	393	2127
156	394	2120
157	396	2112
158	397	2105
159	399	2097
160	400	2088
161	402	2081
162	403	2073
163	405	2065
164	406	2058
165	408	2049
166	409	2042
167	410	2035
168	412	2027
169	413	2020
170	415	2013
171	416	2006
172	418	1999
173	419	1992
174	421	1985
175	422	1978
176	424	1972
177	425	1965
178	427	1958
179	428	1951
180	429	1941
181	430	1935
182	432	1929
183	433	1922
184	434	1916
185	436	1909
186	437	1903
187	439	1896
188	440	1890
189	441	1884
190	443	1877
191	444	1872
192	446	1867
193	448	1862
194	449	1856
195	451	1851
196	452	1845
197	454	1839
198	455	1833
199	456	1827
200	458	1823
201	460	1819
202	462	1813
203	463	1808
204	464	1803
205	466	1797
206	467	1792
207	469	1786
208	470	1781
209	472	1776
210	473	1771
211	475	1765
212	476	1760
213	478	1755
214	479	1750
215	480	1745
216	482	1740
217	483	1734
218	485	1729
219	486	1724
220	487	1719
221	489	1714
222	490	1709
223	491	1704
224	493	1699
225	494	1694
226	496	1689
227	497	1684
228	498	1679
229	500	1674
230	501	1670
231	503	1665
232	504	1661
233	506	1656
234	507	1652
235	509	1647
236	510	1643
237	511	1638
238	513	1634
239	514	1629
240	516	1625
241	517	1620
242	518	1616
243	520	1612
244	521	1607
245	523	1603
246	524	1599
247	526	1595
248	527	1590
249	528	1586
250	530	1582
251	531	1577
252	533	1574
253	534	1569
254	535	1565
255	537	1561
256	538	1557
257	540	1553
258	541	1549
259	542	1544
260	544	1541
261	545	1537
262	547	1533
263	548	1530
264	550	1526
265	551	1522
266	553	1518
267	554	1514
268	555	1510
269	557	1506
270	558	1502
271	560	1499
272	561	1494
273	562	1490
274	564	1487
275	565	1483
276	567	1480
277	568	1476
278	570	1473
279	571	1469
280	573	1467
281	574	1463
282	576	1460
283	577	1456
284	579	1452
285	580	1448
286	581	1445
287	583	1441
288	584	1437
289	586	1434
290	587	1431
291	588	1428
292	590	1424
293	591	1421
294	593	1417
295	594	1414
296	596	1410
297	597	1407
298	598	1403
299	600	1400
300	601	1397
301	602	1393
302	604	1390
303	605	1387
304	607	1383
305	608	1380
306	610	1377
307	611	1374
308	612	1370
309	614	1367
310	615	1364
311	617	1361
312	618	1358
313	620	1354
314	621	1351
315	622	1348
316	624	1344
317	625	1341
318	626	1338
319	628	1335
320	629	1332
321	631	1328
322	632	1325
323	633	1322
324	635	1319
325	636	1316
326	637	1313
327	639	1309
328	640	1306
329	642	1303
330	643	1300
331	644	1297
332	646	1294
333	647	1291
334	649	1288
335	650	1285
336	652	1282
337	653	1279
338	654	1276
339	656	1273
340	657	1270
341	659	1267
342	660	1265
343	661	1262
344	663	1258
345	664	1255
346	665	1253
347	667	1250
348	668	1247
349	669	1243
350	671	1240
351	672	1237
352	673	1235
353	675	1232
354	676	1229
355	677	1226
356	679	1223
357	680	1220
358	682	1217
359	683	1215
360	684	1212
361	686	1209
362	687	1206
363	689	1203
364	690	1201
365	691	1198
366	693	1195
367	694	1192
368	695	1189
369	697	1187
370	698	1184
371	700	1182
372	701	1180
373	703	1178
374	705	1176
375	707	1173
376	709	1171
377	710	1169
378	712	1166
379	713	1163
380	714	1161
381	716	1158
382	717	1155
383	718	1153
384	720	1150
385	721	1147
386	723	1145
387	724	1142
388	725	1140
389	727	1137
390	728	1135
391	730	1132
392	731	1129
393	733	1127
394	735	1125
395	736	1123
396	737	1120
397	739	1118
398	740	1115
399	742	1113
400	743	1110
401	745	1108
402	746	1105
403	747	1103
404	749	1100
405	750	1098
406	752	1095
407	753	1093
408	755	1091
409	756	1088
410	757	1086
411	759	1083
412	760	1081
413	762	1078
414	763	1076
415	764	1073
416	766	1071
417	767	1068
418	769	1066
419	770	1064
420	772	1061
421	773	1059
422	774	1057
423	776	1054
424	777	1052
425	779	1049
426	780	1047
427	781	1045
428	783	1042
429	784	1040
430	786	1038
431	787	1035
432	789	1033
433	790	1030
434	791	1028
435	793	1026
436	794	1023
437	796	1021
438	797	1019
439	799	1016
440	800	1014
441	801	1012
442	803	1009
443	804	1007
444	806	1005
445	807	1003
446	808	1000
447	810	998
448	811	996
449	813	993
450	814	991
451	815	989
452	817	986
453	818	984
454	820	982
455	821	980
456	822	977
457	824	975
458	825	973
459	827	971
460	829	969
461	831	967
462	832	965
463	833	963
464	835	961
465	836	958
466	838	956
467	839	954
468	841	952
469	842	950
470	843	947
471	845	945
472	846	943
473	848	941
474	849	938
475	850	936
476	852	934
477	853	932
478	854	929
479	856	927
480	857	925
481	859	923
482	860	921
483	861	918
484	863	916
485	864	914
486	866	912
487	867	910
488	869	908
489	870	906
490	871	903
491	873	901
492	874	899
493	876	897
494	877	895
495	879	893
496	880	891
497	881	888
498	883	886
499	884	884
500	886	882
501	887	880
502	888	878
503	890	876
504	891	874
505	893	871
506	894	869
507	895	867
508	897	865
509	898	863
510	899	861
511	901	859
512	902	857
513	904	854
514	905	852
515	906	850
516	908	848
517	909	846
518	910	844
519	912	842
520	913	840
521	915	838
522	916	836
523	918	833
524	919	831
525	920	829
526	921	827
527	923	825
528	924	823
529	926	821
530	927	819
531	928	817
532	930	815
533	931	813
534	933	810
535	934	808
536	935	806
537	937	804
538	938	802
539	939	800
540	941	798
541	943	796
542	944	794
543	945	792
544	947	790
545	948	788
546	949	786
547	951	784
548	952	782
549	954	780
550	955	778
551	957	776
552	958	774
553	959	772
554	961	770
555	962	768
556	964	766
557	965	764
558	967	762
559	968	760
560	969	758
561	971	756
562	972	754
563	974	752
564	975	750
565	976	748
566	978	747
567	979	745
568	981	743
569	982	741
570	983	739
571	985	737
572	986	735
573	987	733
574	989	731
575	990	729
576	992	727
577	993	725
578	995	723
579	996	721
580	997	719
581	999	717
582	1000	715
583	1002	713
584	1003	711
585	1005	710
586	1006	708
587	1007	706
588	1009	704
589	1010	702
590	1012	700
591	1013	698
592	1015	696
593	1016	694
594	1017	692
595	1019	690
596	1020	689
597	1022	687
598	1023	685
599	1024	683
600	1026	681
601	1027	679
602	1029	677
603	1030	675
604	1032	674
605	1033	672
606	1035	670
607	1036	668
608	1038	666
609	1039	664
610	1041	662
611	1042	660
612	1043	659
613	1045	657
614	1046	655
615	1048	653
616	1049	651
617	1051	649
618	1052	647
619	1053	645
620	1055	644
621	1057	642
622	1058	640
623	1060	638
624	1062	637
625	1063	635
626	1065	633
627	1066	631
628	1068	630
629	1069	628
630	1070	626
631	1072	624
632	1073	622
633	1075	620
634	1076	618
635	1078	617
636	1079	615
637	1081	613
638	1082	611
639	1083	609
640	1085	607
641	1086	605
642	1088	604
643	1090	602
644	1091	600
645	1092	598
646	1094	597
647	1095	595
648	1097	593
649	1098	591
650	1099	589
651	1101	587
652	1102	586
653	1104	584
654	1105	582
655	1107	580
656	1108	578
657	1109	576
658	1111	575
659	1112	573
660	1114	571
661	1115	569
662	1116	567
663	1118	565
664	1119	564
665	1121	562
666	1122	560
667	1124	558
668	1125	556
669	1127	555
670	1128	553
671	1129	551
672	1131	549
673	1132	547
674	1134	546
675	1135	544
676	1137	542
677	1138	540
678	1139	538
679	1141	537
680	1142	535
681	1144	533
682	1145	531
683	1146	529
684	1148	527
685	1149	526
686	1150	524
687	1152	522
688	1153	520
689	1155	519
690	1156	517
691	1158	515
692	1159	513
693	1161	512
694	1162	510
695	1164	508
696	1165	506
697	1166	504
698	1168	503
699	1169	501
700	1171	499
701	1172	497
702	1174	496
703	1175	494
704	1177	492
705	1178	490
706	1179	489
707	1181	487
708	1183	485
709	1184	484
710	1186	482
711	1188	480
712	1189	478
713	1191	477
714	1192	475
715	1194	473
716	1195	472
717	1197	470
718	1198	468
719	1200	466
720	1201	465
