iter	Passed	Remaining
0	139	139398
1	141	70425
2	143	47544
3	144	36040
4	146	29129
5	147	24462
6	149	21149
7	150	18687
8	152	16786
9	154	15268
10	156	14033
11	157	12980
12	159	12074
13	160	11289
14	161	10603
15	162	10022
16	164	9504
17	165	9046
18	167	8639
19	168	8266
20	170	7937
21	171	7632
22	173	7351
23	174	7095
24	175	6855
25	177	6638
26	178	6433
27	179	6244
28	181	6074
29	182	5916
30	184	5767
31	185	5620
32	187	5488
33	188	5358
34	189	5232
35	190	5113
36	192	5002
37	193	4896
38	194	4795
39	195	4703
40	197	4618
41	198	4536
42	200	4457
43	201	4385
44	203	4311
45	204	4239
46	205	4168
47	207	4106
48	208	4045
49	210	3991
50	211	3941
51	213	3887
52	214	3839
53	216	3790
54	217	3738
55	218	3687
56	220	3641
57	221	3592
58	222	3545
59	223	3503
60	225	3463
61	226	3427
62	228	3394
63	230	3366
64	231	3330
65	232	3291
66	233	3256
67	235	3224
68	236	3188
69	237	3153
70	238	3119
71	239	3090
72	241	3062
73	242	3037
74	244	3011
75	245	2984
76	246	2956
77	247	2930
78	249	2903
79	250	2878
80	251	2856
81	253	2832
82	253	2802
83	255	2782
84	256	2764
85	258	2749
86	260	2730
87	261	2710
88	262	2688
89	264	2669
90	265	2651
91	266	2630
92	267	2610
93	268	2589
94	270	2573
95	271	2558
96	273	2543
97	274	2527
98	275	2510
99	277	2495
100	278	2479
101	280	2466
102	281	2449
103	282	2431
104	283	2414
105	284	2400
106	286	2389
107	288	2379
108	289	2367
109	290	2353
110	292	2339
111	293	2325
112	294	2315
113	296	2302
114	297	2288
115	298	2276
116	300	2264
117	301	2255
118	303	2246
119	304	2233
120	305	2221
121	306	2208
122	308	2196
123	309	2187
124	310	2175
125	312	2164
126	312	2150
127	314	2140
128	315	2131
129	317	2121
130	318	2112
131	319	2101
132	320	2091
133	322	2081
134	323	2071
135	324	2061
136	325	2051
137	326	2041
138	327	2030
139	329	2021
140	330	2013
141	331	2002
142	332	1995
143	334	1986
144	335	1978
145	336	1969
146	338	1961
147	339	1954
148	340	1946
149	341	1937
150	342	1928
151	344	1920
152	345	1912
153	347	1906
154	348	1899
155	349	1892
156	351	1885
157	352	1879
158	353	1872
159	355	1864
160	356	1855
161	357	1849
